URL;nombre;n_apariciones;actual;genero;fecha_inicio;Notes
http://marvel.wikia.com/Henry_;"Henry Jonathan ""Hank"" Pym";1269;YES;MALE;1963;Merged with Ult
http://marvel.wikia.com/Janet_;Janet van Dyne;1165;YES;FEMALE;1963;Dies in Secret 
http://marvel.wikia.com/Anthon;"Anthony Edward ""Tony"" Stark";3068;YES;MALE;1963;"Death: ""Later w"
http://marvel.wikia.com/Robert;Robert Bruce Banner;2089;YES;MALE;1963;Dies in Ghosts 
http://marvel.wikia.com/Thor_O;Thor Odinson;2402;YES;MALE;1963;Dies in Fear It
http://marvel.wikia.com/Richar;Richard Milhouse Jones;612;YES;MALE;1963;
http://marvel.wikia.com/Steven;Steven Rogers;3458;YES;MALE;1964;Dies at the end
http://marvel.wikia.com/Clint_;Clinton Francis Barton;1456;YES;MALE;1965;Dies in explodi
http://marvel.wikia.com/Pietro;Pietro Maximoff;769;YES;MALE;1965;Dies in House o
http://marvel.wikia.com/Wanda_;Wanda Maximoff;1214;YES;FEMALE;1965;Dies in Uncanny
http://marvel.wikia.com/Jacque;Jacques Duquesne;115;NO;MALE;1965;Dies in Avenger
http://marvel.wikia.com/Hercul;Heracles;741;YES;MALE;1967;
http://marvel.wikia.com/T%27Ch;T'Challa;780;NO;MALE;1968;
http://marvel.wikia.com/Vision;Victor Shade (alias);1036;YES;MALE;1968;Dies in Avenger
http://marvel.wikia.com/Dane_W;Dane Whitman;482;NO;MALE;1969;
http://marvel.wikia.com/Natali;Natalia Alianovna Romanova;1112;YES;FEMALE;1973;Killed by The H
http://marvel.wikia.com/Mantis;Brandt;160;NO;FEMALE;1973;Dies in Silver_
http://marvel.wikia.com/Henry_;Henry P. McCoy;1886;NO;MALE;1976;
http://marvel.wikia.com/Heathe;Heather Douglas;332;NO;FEMALE;1976;Dies in Defende
http://marvel.wikia.com/Patric;Patsy Walker;557;NO;FEMALE;1976;Died during tim
http://marvel.wikia.com/Matthe;Matthew Liebowitz (birth name);197;NO;MALE;1975;Died during Ret
http://marvel.wikia.com/Robert;Robert L. Frank Sr.;106;NO;MALE;1978;Died in Vision_
http://marvel.wikia.com/Simon_;Simon Williams;692;YES;MALE;1979;Died in Avenger
http://marvel.wikia.com/Yondu_;Yondu Udonta;109;NO;MALE;1978;
http://marvel.wikia.com/Martin;Martinex T'Naga;100;NO;MALE;1978;
http://marvel.wikia.com/Charli;Charlie-27;132;NO;MALE;1978;
http://marvel.wikia.com/Nichol;Nicholette Gold;108;NO;FEMALE;1978;
http://marvel.wikia.com/Stakar;Stakar;100;NO;MALE;1978;
